"","Age.range","MaleCases","FemaleCases","MalesIncidenceRate","FemalesIncidenceRate","Population","PersYears","MaleRelFreq","FemaleRelFreq","Ages","CurrentP","CurrentPfem"
"56","55 to 59",13286,14309,698.9,734.2,1e+05,5,0.6989,0.7342,55,0.6989,0.7342
"57","55 to 59",13286,14309,698.9,734.2,1e+05,5,0.6989,0.7342,56,0.6989,0.7342
"58","55 to 59",13286,14309,698.9,734.2,1e+05,5,0.6989,0.7342,57,0.6989,0.7342
"59","55 to 59",13286,14309,698.9,734.2,1e+05,5,0.6989,0.7342,58,0.6989,0.7342
"60","55 to 59",13286,14309,698.9,734.2,1e+05,5,0.6989,0.7342,59,0.6989,0.7342
"61","60 to 64",20296,17850,1178.2,994.2,1e+05,5,1.1782,0.9942,60,1.1782,0.9942
"62","60 to 64",20296,17850,1178.2,994.2,1e+05,5,1.1782,0.9942,61,1.1782,0.9942
"63","60 to 64",20296,17850,1178.2,994.2,1e+05,5,1.1782,0.9942,62,1.1782,0.9942
"64","60 to 64",20296,17850,1178.2,994.2,1e+05,5,1.1782,0.9942,63,1.1782,0.9942
"65","60 to 64",20296,17850,1178.2,994.2,1e+05,5,1.1782,0.9942,64,1.1782,0.9942
"66","65 to 69",30185,23536,1746.9,1287.5,1e+05,5,1.7469,1.2875,65,1.7469,1.2875
"67","65 to 69",30185,23536,1746.9,1287.5,1e+05,5,1.7469,1.2875,66,1.7469,1.2875
"68","65 to 69",30185,23536,1746.9,1287.5,1e+05,5,1.7469,1.2875,67,1.7469,1.2875
"69","65 to 69",30185,23536,1746.9,1287.5,1e+05,5,1.7469,1.2875,68,1.7469,1.2875
"70","65 to 69",30185,23536,1746.9,1287.5,1e+05,5,1.7469,1.2875,69,1.7469,1.2875
"71","70 to 74",29345,21153,2348.7,1529.2,1e+05,5,2.3487,1.5292,70,2.3487,1.5292
"72","70 to 74",29345,21153,2348.7,1529.2,1e+05,5,2.3487,1.5292,71,2.3487,1.5292
"73","70 to 74",29345,21153,2348.7,1529.2,1e+05,5,2.3487,1.5292,72,2.3487,1.5292
"74","70 to 74",29345,21153,2348.7,1529.2,1e+05,5,2.3487,1.5292,73,2.3487,1.5292
"75","70 to 74",29345,21153,2348.7,1529.2,1e+05,5,2.3487,1.5292,74,2.3487,1.5292
"76","75 to 79",28280,21207,2899.6,1834.3,1e+05,5,2.8996,1.8343,75,2.8996,1.8343
"77","75 to 79",28280,21207,2899.6,1834.3,1e+05,5,2.8996,1.8343,76,2.8996,1.8343
"78","75 to 79",28280,21207,2899.6,1834.3,1e+05,5,2.8996,1.8343,77,2.8996,1.8343
"79","75 to 79",28280,21207,2899.6,1834.3,1e+05,5,2.8996,1.8343,78,2.8996,1.8343
"80","75 to 79",28280,21207,2899.6,1834.3,1e+05,5,2.8996,1.8343,79,2.8996,1.8343
"81","80 to 84",21571,19152,3244.1,2122.8,1e+05,5,3.2441,2.1228,80,3.2441,2.1228
"82","80 to 84",21571,19152,3244.1,2122.8,1e+05,5,3.2441,2.1228,81,3.2441,2.1228
"83","80 to 84",21571,19152,3244.1,2122.8,1e+05,5,3.2441,2.1228,82,3.2441,2.1228
"84","80 to 84",21571,19152,3244.1,2122.8,1e+05,5,3.2441,2.1228,83,3.2441,2.1228
"85","80 to 84",21571,19152,3244.1,2122.8,1e+05,5,3.2441,2.1228,84,3.2441,2.1228
"86","85 to 89",12742,13614,3586.1,2284.3,1e+05,5,3.5861,2.2843,85,3.5861,2.2843
"87","85 to 89",12742,13614,3586.1,2284.3,1e+05,5,3.5861,2.2843,86,3.5861,2.2843
"88","85 to 89",12742,13614,3586.1,2284.3,1e+05,5,3.5861,2.2843,87,3.5861,2.2843
"89","85 to 89",12742,13614,3586.1,2284.3,1e+05,5,3.5861,2.2843,88,3.5861,2.2843
"90","85 to 89",12742,13614,3586.1,2284.3,1e+05,5,3.5861,2.2843,89,3.5861,2.2843
"91","90+",NA,NA,NA,NA,1e+05,5,NA,NA,90,NA,NA
"92","90+",NA,NA,NA,NA,1e+05,5,NA,NA,91,NA,NA
"93","90+",NA,NA,NA,NA,1e+05,5,NA,NA,92,NA,NA
"94","90+",NA,NA,NA,NA,1e+05,5,NA,NA,93,NA,NA
"95","90+",NA,NA,NA,NA,1e+05,5,NA,NA,94,NA,NA
